Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1-HR,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,EC-Earth3,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorCPM1-LM,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
1,-.2412,.1557E-01,-.1209,.2041,.1952,-.2241,-.2357,-.2235,.1212,.1214,.2753,-.3040E-01,-.7020E-02,.1149,-.2152,.1390E-01,.1318,-.5163E-01,.2119,-.8116E-01,.4125,-.1741,.1241,-.1570,.5957E-01,.1007E-01,.5265,-.3501,.1879,.4955,-.1717,.3079E-01
2,.1900,.1515,-.1264,.8518,1.175,-.3266E-01,.1111,.3341,.3351E-01,.5141,.3769,-.6363,.4475,.4568,.4534E-01,-.7809E-01,-.5824E-01,.4121,.1921,.3845,.3810,.6021,-.5907,.1682,.3166,-.4262,.5277,.2578,.5467,.6804,-.1037E-01,.2425
3,.2348,.2234,.5591,-.2755,-.4696,.2018,-.2841,.1573,-.2453,.1238,-.3869,.4893,-.3366,-.4743,.1920,-.5061,-.1913,.4869,.2732,.2477,-.4216,.1953,.7553E-02,.3303,-.2569E-01,.1689,.3389,.4568,-.2466,.5249,.5899,.8148E-01
4,-.2538,.5040E-01,-.2465,-.1308,.2106,-.5767E-02,.1787,-.1852E-01,.2563,.2287,-.1347,.8471E-01,.3887,.2965,.2040,.3099,-.1193,-.1523,-.8422E-01,-.2847,-.2502,-.2558E-02,.3558,.4145E-01,.2785,-.3778,.4641,.1397,-.3688,.4803,-.3249,.3012E-01
5,.2344,.1593,.1230,-.1471,1.002,.3057,.2956,.3139,.2021,.1182,-.4000,-.2145,.1928,.4184,.1565,.4659,.1587,-.5196,-.1896,-.2963E-01,.5303,.2086,.1880,.2156,-.2434,.3079,.5413,-.2224,.5589,.8640E-01,.5577,.1636
6,.3558,-.2167,.3974,-.7389E-02,.5620,.4062,.4164,.4078,.5929E-01,-.9292E-01,.3558,.1173,-1.087,.5304E-02,.3706,.1179,-.1231E-01,.1792,.5442E-01,-.2111,.4127,.2458,.5122E-01,-.1533,.2148,.1277,.4635,-.3804,-.2384,-.3292,.5172,.9971E-01
7,.3831,.3722,.2789,.8814,1.022,.7562E-01,.2033,-.1840,.2815,-.3993,.3877,.3734,-.2595,.3920E-01,.1580,-.2031,.1617,.3649,.3827,.4979,-.5659,.2400E-01,.1965,.2919,.2940,.6282,.4067,.4985,-.7926,.5429,.3442,.2296
8,.1248,-.1083E-01,.4193,.3590,.6113,.3471,.2741,.5447,.3405,.3609,.1418,.3254,.5721,.4141,-.9457E-01,.1589E-01,.6656E-02,.1867,.3842,.2503,.7646,.1102,-.4263,.5000,-.3733,.2914,.5269,.8365,-.4469,.9949E-01,-.2335E-01,.2472
9,.3403,.2941,-.3222E-01,-.2428E-01,.1403,.5645,.1869,.2156,.2365,.1263,.4874,.3054,.3928,.5519,.1058,.4409,-.1434E-01,.3574,-.3807E-01,.4712,.6360,.3064,.4569,.4382,.1061,.2129,.5491,-.2557E-01,-.3531,.5393,.1393,.2558
10,.4279,.1700,.6092,-.2086,.3201E-01,.3310,.2918,.2755,.7405E-01,.1826,.8087,.8038E-01,-.7582,.4488,.9836,.4349,.6066,.5332,.5996,.4039,.4154,.8666,.7151,-.4570E-01,.5998,.5880,.2973,-.1996,.6326,.2530,.5760,.3530
11,.2358,.5090,.7757,-.3090E-01,-.6978E-01,.2764,.4286,-.2435,.3746,.2338,.5024,.3080,.3930,-.2073,.4604,-.1961,.6546,-.1060,.1356,.2423,-.1271,.3087,.6933,.1995,.1196,.3909,.6586,.7953,.7914,.3590,.3182,.3127
12,-.4890E-01,.4470,-.1889,1.044,.4698,.3839,.3084,.6224,.6445E-02,.1162,.1221,-.1297,.7285,.2686,-.3785,-.2251,.2486,.3067,.5404,.4060,.4733,.3359,-.5444,-.7004,.1213,.5499,.9017,.8043,.8051,-.6026E-02,.3307,.2781
13,.1564,-.1501,.7366,.8651E-01,.6084,.5273,.3273,.4801,.4078,.3815,.2673,.8996E-01,-.1804,.6050E-01,.2673,-.1108E-01,-.2064,.3605,.8056,.2991,.7867,.3751,.2078,.6373E-01,-.6361E-01,.7832,.5110,.1632,.3579,.4613,-.1533,.2939
14,.5991,.1398,.6631,.6700,.6504,.5098,.7008E-01,-.1742E-01,.7984,-.8922E-01,-.1067,.5797,.6345E-02,.4444,.9209,.4229,.4966,-.2497,.1339E-01,.2143,.4331,.3123,.2490,.4629,.3754,.2538,.7282,.7416E-01,1.255,.1306,.9031,.3830
15,-.1258,.3628,.4875,.4056,-.9378E-02,.6602,.3379,.5116,.1597,.9581,.7046,.4550,.6411,.7526E-01,.8098,.5839,.4406,.1050,.8856E-01,.5073,.8806,.9735,.9522,.1740,.4899,.1542,.6224,.1591,.3694,.8259,.6865,.4621
16,.6941,.3967,.4750,.4176,.2591,.4827,.2718,.2510,.5402,.5664,.6304,.1102,.4381,.6031,.6177,.1929,.2035,.6118,.3349,.5154,.2330,.2497,.3984,.7722,.5357,.2946,.8526,.6570,.3171,1.185,.1056,.4674
17,-.1672,.4027,.1643E-01,.7260,.6519,.5616E-01,.5176,.6030,.6616,.7996,.1794,.4371,-.6644E-02,1.036,-.1023,.3249,.2795,.3215,.4362,.3354,.4125,.6139,-.3873,.6353,.6975,.7489,.5948,.3270,.1789,.4522,.7067,.4055
18,.7936,.2826,.8249,.2860,-.1824,.8696,.5624,.3312,.5945,.4574,.6819,.4934,1.034,-.6771,.2440,1.473,.5175,-.1771E-01,.6656E-01,.4481,.5689,.5070,.4179,.4975,.2694,.8467,.7610,-.2341,-.7334,1.081,.6621,.4085
19,.9237,.8935,.4923,.4107,.7389,.4281,.2263,.3136,.7596,.6272,.3817,.1328,.8978,.8158,.9645E-01,.7079,.4475,-.8194E-01,.5735,.3693,.6593,.5972,.8341,.4246,.1308,.5104,.5412,.4939,-.4661E-02,.2591,.8944,.4929
20,.1414,.2535,.6778,.8426,.8669,.5955,.3991,.6180,.6927,.8833,.7499,.4020E-01,-.2407,.8067,.4703,.1779,.5325,.6718,.4364,.4466,.2168,1.091,.3904,-.7863,.4676,.2969,.2644,1.165,.8181,.8960,1.045,.5250
21,.5448,1.064,.3212,.9579,.8383,.2420,.8469,-.1351,.4741,.5735,.3005,.7953,.9037,.1706,.6485,.2599,.9115,.4716,.4355,.4582,.8612,.3806,.6906,.3429,.1904,-.2881,.6606,.6738,.3048,.6372,.9733E-01,.5125
22,.3506,-.2363E-01,-.3823,.8628,1.368,1.011,.5718,.4114,.6447,.7147,.8143,.8076,.7978,.4665,-.1473,.6969,.6515,.2803,.9340,-.3655E-01,.5356,.3918,.1958,1.162,.2116,.8772,1.137,.3307,-.3154,.6821,.8971,.5401
23,.5442,.3130E-01,.7161,-.5535,.7553,.5808,.4346,.6646,.6797,.9450,.7814,.3908,.2992,.3123,.4773E-01,1.372,.6544,.5071,.7278,.3527,.1191,.7696E-01,.4016E-02,.4851,.6619,.5460,.8910,.7267E-01,.2943,1.023,.6529,.4566
24,.5670,.3463,.9466,.6429,-.3702,.7213,.6624,.2319E-01,.6343,.9808,.7841,.5110,1.002,.2172,.3975,1.178,.2964,.7979,.5287,.6287,.2565,.7371,.4202,.4913,.9989,-.3797,.6302,.4706,.3861,.6038,.7086,.5214
25,1.225,.7722,.5290,.8253,.8574,.7637,.3083,.6995,.2886,.2413,.4593,.6905,.8231,.6241,.4314,-.1531,.1442E-01,.9062E-01,.5582,.4273,1.365,1.183,.6095,.2734,.8222,.5630,.7354,1.168,.8748,.8146,.4756,.6505
26,.5541,.4551,.9195,.7233,.4687,.7273,.6751,.7587,.7551,.6331,.3208,.8099,-.1890,.3880,.4978,.3579,.5134,-.3786,.6514,.7856,-.3726,1.602,.8717,.7846,.8838,1.228,1.058,1.187,.5076,.4339,.8404,.6364
27,.5957,.4151,-.2840,1.365,-.3320,.7674,1.012,.9667,.7628,.8215,.9495,.5643,1.549,.5619,.9461,.3459,.9194,.5221,.9989,.4635,.4118,.7137,.6869,.5577,.4967,.9298,.8509,.3204,.2833,1.345,1.009,.7057
28,.7704,.4910,.9704,.4730,.3678,.7162,.8858,.4276,.9877,.8691,.6590,.6954,.9899,.8808,.7084,.1579,.5014,.5789,.3366,.4579,1.218,1.013,.5021,.3899,.5044,.8976,1.144,.9694,.8761,.8727,1.108,.7421
29,.1867,.6280,1.016,.3325,1.390,.9650,.2816,.5264,1.532,.6044,.3210,.6419,.3948E-01,.2206,.2374,.6419,.3173,.6157,1.257,.4292,.1417,.8611,.1014,1.054,1.127,.4008,1.108,.1193,.4858,-.3175,1.024,.5882
30,1.019,.3109,1.160,.9481,1.576,.8324,.9050,.7451,.6090,-.3463E-01,.8261,.5787,.6711,.5965,.9182,.9019,.2643,.8744,1.219,.5843,.7321,1.121,.4266,.4311,.7402,.8920,1.131,.8527E-01,1.158,.5707,.9759,.7623
31,.4243,.7549,.5258,.7493,.2197,.9305,1.120,.8101,.5024,1.248,.7466,.8097,1.256,.5374,.9403,.7869,.9023,.4212,1.020,.5882,1.164,1.042,.9558,.6643,.3399,.4154,.7587,.6622,.9913,.9573,.7406,.7733
32,.9536,.7158,.6222E-01,1.364,.7313,.7134,.3031,.9436,1.389,1.084,.7284,.8686,.9900E-01,.4483,-.1377,.1779,.6913,1.061,.3548,.6109,.2359,.7976,.8090,.9454,.5479,.4092,1.394,.5702,-.7009,.9289,.6975,.6540
33,.2270,.3297,.4037,1.016,1.674,.8409,1.106,.6793,.7325,.5920,.6220,.4903,1.253,.4412,.8066,.5409,.5733,.5347,1.101,.6304,.5694,1.087,.3943,.1016,.6892,1.092,1.274,1.215,.3938,1.172,.8042,.7615
34,.6901,.6417,.9711,.6965,1.362,1.426,1.160,.7814,.8396,.6720,.7681,1.354,.7040,1.145,1.331,.8099,1.041,-.5053E-01,.8556,.5214,.7438,1.506,.4865,-.1783,1.132,.7873,.9943,.3431,1.352,.8958,.8462,.8606
35,.6727,.4466,.3166,.9159E-01,.7026,.8193,.7856,.6358,.5795,.7231,1.268,.6385,.8132E-01,.7659,.3801,.8710,.8983,.8822,.7738,.4440,.9883,1.567,1.009,.1239,.7681,1.049,1.085,.3780,-.1327,.5069,1.896,.7048
36,.8831,.6306,.9821,1.097,.7349,1.156,.6428,.8983,.9638,.8517,.5997,.6125,1.077,.6902,.4075,.5749,.2683,.8930,1.304,.4146,.1257,1.090,1.147,1.200,.6053,.9739,.9547,1.221,.4620,.7996,1.251,.8313
37,1.029,.7945,.3925,1.177,.3548,1.002,1.203,.8872,1.201,.3787,.5399,.9694,.7313,.5847,.7903,.7679,.9862,.5977,.9993,.7027,1.237,1.310,.4822,1.287,.4892,.2244,.9219,.8769,1.138,.6863,.9218,.8299
38,.4078,.2435,.9229,-.3186,-.2476,1.213,.9409,.4950,1.061,1.209,1.194,.8869,.2924,.7246,1.054,1.176,.8742,.5965,.8570,.5689,1.037,1.175,.4744,.5743,.5358,.8057,1.298,1.058,1.362,1.322,1.277,.7965
39,1.378,.7454,.5674,.6694,.9722,1.310,1.097,1.094,.6844,1.442,1.288,.4900,.8820,.5345,.8794,.7089,.6202,.4183,.8088,.2827,1.173,1.298,.9896,.3214,.6528,.8384,.5003,.6958,1.687,1.684,.9237,.8976
40,.4230,.4513,.9819,1.289,1.750,.9861,1.194,1.046,.7451,.5022,.7406,1.107,.8728,1.301,.9636,.4239,.6722,.9510,1.111,.7069,.8064,1.514,1.010,1.052,1.025,.8991,.9765,1.462,-.7480,.7783,1.044,.9205
41,.7758,.8833,.5593,1.634,1.290,1.157,.8419,.7586,1.070,1.030,.8180,.9601,.4008,1.004,.7640,1.129,.9292,.3508,1.526,.1977,.4559,1.605,.3021,.8617,.6503,.7953,1.224,.7596,.9448,1.532,1.189,.9090
