Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1-HR,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,EC-Earth3,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
1,5.976,5.962,6.806,7.867,7.691,6.798,6.573,4.681,6.838,7.301,6.953,6.709,6.987,7.339,6.152,6.313,6.448,5.639,7.069,4.825,7.537,6.141,6.790,6.088,6.716,6.715,6.632,7.203,7.663,6.642,6.635
2,5.011,5.013,4.899,5.885,7.284,6.018,6.045,4.754,6.101,5.604,5.704,5.129,6.122,5.744,4.995,4.767,4.782,4.580,6.349,3.830,5.221,5.603,5.928,5.307,5.449,5.385,4.906,5.290,6.750,5.842,5.477
3,3.987,4.367,4.703,5.812,5.567,5.396,5.349,4.884,5.515,5.216,5.081,5.447,4.385,3.867,3.612,4.375,4.941,4.297,5.220,3.076,4.940,5.230,4.110,4.453,4.988,4.048,4.262,4.275,5.226,6.082,4.757
4,3.629,4.026,3.726,5.418,5.186,5.068,4.891,4.316,5.431,4.315,4.690,4.487,5.143,4.026,4.229,4.127,4.569,3.871,5.317,3.172,4.523,5.370,4.507,4.114,4.487,4.276,4.231,4.133,5.028,5.400,4.524
5,3.897,3.781,2.757,4.250,4.685,4.979,4.533,4.080,5.489,4.307,4.164,4.450,4.958,4.365,3.433,4.424,3.426,2.647,5.151,2.342,4.210,4.823,4.620,3.260,4.120,4.797,3.850,2.256,4.733,4.895,4.123
6,3.591,3.658,3.680,4.591,4.758,4.386,4.256,4.762,5.156,4.638,3.998,4.061,3.118,3.807,3.193,4.243,3.418,3.306,4.559,2.124,4.268,4.491,4.241,3.019,3.919,3.949,3.832,2.687,4.237,4.546,3.950
7,3.638,3.201,3.337,4.349,4.302,4.487,4.237,3.922,4.214,4.701,3.646,3.441,4.451,3.076,3.310,3.139,3.471,3.150,4.522,2.297,3.941,4.088,3.431,3.593,3.880,3.159,3.836,2.934,4.432,4.808,3.766
8,3.274,3.580,3.499,4.059,3.949,4.542,4.141,3.796,4.619,4.588,3.883,3.408,3.483,3.706,3.543,3.123,3.517,3.021,4.534,2.289,4.486,4.347,2.700,3.908,3.357,4.182,3.649,2.156,3.995,4.775,3.737
9,3.198,3.559,2.812,3.385,3.974,4.296,3.973,4.124,4.908,4.045,4.076,3.731,3.081,3.379,3.161,3.321,4.052,2.619,4.237,2.335,3.252,4.213,4.024,3.236,3.684,3.419,3.831,2.102,4.088,4.020,3.605
10,3.146,2.999,2.952,3.448,3.939,4.156,4.277,3.568,4.093,3.996,2.969,3.839,3.582,2.129,2.956,2.858,3.550,3.403,3.848,1.671,4.346,4.243,3.855,1.834,3.270,3.769,3.677,3.398,3.380,4.108,3.442
