Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1-HR,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,EC-Earth3,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorCPM1-LM,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
1,.3079,.2365,-.1421,-.3356,-.2507E-01,.1653,.4884,.8995E-01,.2812,-.8861E-01,-.1678,-.3228,.2654,-.1882E-01,.8804E-01,-.2324,.6407E-01,.7726E-01,-.2453,.4583E-02,-.1255,.6195E-01,-.2598,-.1814,-.2363E-01,-.7089E-01,-.1850,-.7667E-01,-.1039,-.7142,.6752,-.9371E-02
2,-.3237E-01,.4629,.6619E-01,-.4879,.3749E-01,.6122E-01,.3190,.5226E-03,.8371E-01,.9237E-02,.2909,-.3130,.1203,.1865,-.3721,-.7467E-01,-.6059E-01,-.1002,-.2841,-.1497E-01,-.6387E-01,-.2984,.3056,-.4281E-01,-.2437,.2958,-.3166,-.3433,.5153E-01,-.6678,.3212,-.3432E-01
3,-.9066E-01,.2182,-.4255,.6979E-01,.2660,-.2239,.3376,.4709E-01,.3062,.2911,.5146,-.5023,.4662,.4268,-.2951,.1170,-.9123E-01,.6043E-01,-.2520,.5945E-01,.2018,.5833,-.1960,-.3782,-.1148,-.9561E-01,-.1742,-.2940,.3629,-.4774,.4819E-01,.2163E-01
4,.5403E-01,.4056,.5281E-01,-.4595,.2059E-01,-.2198E-01,-.9843E-02,-.6434E-01,.1047,.2394E-01,.3733,-.4205,.2211E-01,-.6396E-01,-.3082,-.2063,-.2649,.1720,.1782,.2009,.1364,.3430,-.1946,-.1036,-.3119,.1904E-01,-.8780E-01,-.6660E-01,-.1597,-.4820,.2542,-.2195E-01
5,-.2973,.2600,-.1849,-.5208,-.2438,-.1831,.1537,-.2198,-.2278,.1728,.6204E-01,-.6198,-.1670,.1403,-.1203,-.4296,-.7055E-01,.2766,.3174,-.4167E-01,-.2779,.2127,-.1222,-.1730,-.2530,-.2793,-.5241E-01,.1347,-.2993,-.2676E-02,-.2185E-01,-.8827E-01
6,-.7755E-01,.2793,-.3766,-.2691,.1997,-.3022,.2043,-.2302,-.2925E-01,.2586,-.1592,-.5260,.8999,.2946,.1558E-01,-.4759,-.9220E-01,.4017E-01,-.3154,.3275E-01,-.1433,-.1667E-01,-.1558,.1697,-.4701,-.2317,-.3320,-.7991E-01,.9709E-01,-.3023,.4312E-01,-.5249E-01
7,-.1068,.3667,-.3093,-.4745,-.2707,.2497,.4059,-.1164E-01,-.3017,.2445,.9949E-01,-.6813,.5918,.3449,-.1675,-.1752,-.6089,-.2242,-.4072,-.2078,-.9461E-01,.5730,-.5846E-01,-.1077,-.3102,-.2300,-.1316,-.3496,-.1655,-.4469,.2911,-.8331E-01
8,.1369,.3511,-.5510,-.1858,.4228,-.7238E-01,.3584,-.2861,.8477E-01,-.2662E-02,-.7847E-03,-.6115,.2733E-02,-.2378,-.7596E-02,-.9153E-01,-.5185,.8329E-02,-.2550,-.8339E-01,-.3129,.8868E-01,.2429,-.1071,-.6825E-01,.1760E-01,-.1142,-.4742,-.3291,-.2616,.7531,-.6709E-01
9,.2826,.2244,-.2637,-.5209E-01,.5394,-.2335,.3950,-.3225,-.6572E-01,.3412,-.2121,-.2818,-.9836E-01,-.3445,-.2957,-.3709,-.9318E-01,.2092E-01,-.2569,-.9695E-01,-.2653,-.3266,-.4487,-.2751E-01,-.1883,.6123E-01,-.3638,.5482,-.5417,-.4912,.5630,-.7647E-01
10,.3528E-01,.4108,-.3624,-.4088E-03,.6659,-.1376,.2965,-.7196E-01,-.7120E-01,-.2260,-.3214,-.3380,.7055,.2458,-.7618,-.6762,-.8282E-01,-.1865,-.2867,-.3852E-01,-.1306,-.1220,-.4473,.2131,-.1984,-.2621,.3666,.6350E-01,-.4483,-.1588,.2560,-.4646E-01
11,.2500,.4451,-.4231,-.4087,.4975,.1073,.9411E-01,.1826,-.1470E-01,.3588E-01,-.1766,-.6393,.6246E-01,.5071,-.9488E-01,-.2185,-.6485,-.2579,-.1749E-01,-.3131,.1701E-01,.3697,-.5219,.9072E-01,-.2905,.1275,-.1960,-.1971,-.4240,-.2454,.5680,-.5048E-01
12,.7369E-01,-.7849E-01,.2724E-01,-.7330,.1720,.1023E-01,.3147,-.1758,.6881E-01,-.7259E-02,.1471,-.3645,-.3286,.1104,.4290,-.2668,-.5461,.1997,.1197,-.2356,-.1873,.1644,.2984,.5763,-.1556,.1531,-.2346,-.1748,-.2646,-.3291,.4950,-.1519E-01
13,-.1126,.4919,-.4965,-.9735E-01,-.1041E-01,-.1679,.3402,-.2493,-.1117,-.2604,-.9219E-01,-.3207,.3413,.4646,-.2571,-.1071,.5205E-02,-.6275E-01,.2499,-.4422,-.3397,-.2296E-01,-.2612,-.2106E-01,-.2287,.2698,-.1763,.8355E-01,-.2562,-.4577,.8000,-.4661E-01
14,-.3479,.2502,-.6172,-.2517,.7914E-01,-.1750,.5488,.1583,-.1692,.2944E-01,.1522E-02,-.4790,.1442,-.1451,-.4532,-.2354,-.2744,-.1532,.6440,-.3108,.1097E-01,-.3628E-01,-.6888,-.6115,-.3888,.2404,-.2089,.6290E-01,-.3628,-.1153,.2509,-.1123
15,-.3302,.3566,-.1788,.3003E-01,.3917,-.2791,.2294,.1875E-02,.4536E-01,-.1527,-.4037,-.5413,-.1789,.1052,-.5062,-.7007,-.3621,.1398E-02,.4202,-.4023,.2716,-.4206,-.6814,-.4198,-.5289,-.3493E-01,-.1085,-.1287,-.7341E-01,-.5280,.2629,-.1381
16,-.4025,.3900,-.5776,-.1423,.2363,-.1672,.2929,.1664,-.2431,.4482,-.3040,-.5485,-.3280,-.3285,-.2663,-.2280,-.2357,-.4150,.1024,-.4339,.2503,.6508E-01,-.1750,-.4782,-.5270,-.7229E-01,-.3308E-01,-.8138E-01,.7298E-01,-.7906,.8859,-.1213
17,-.4377E-01,.3123,-.2552,-.2826,.2858,.1957,.1705,-.4930,-.1463E-01,.2230,-.3823,-.6807,-.1171,-.7122E-01,.2256,-.4743,-.4294,-.2074,.2966,-.1605,.8591E-01,-.3453,.2244,-.2626,-.4051,-.1516,.1623,.1300,.2684,-.2382,.1619,-.5995E-01
18,-.3461,.5397,-.5499,-.4893E-01,.2154,-.1094,.1621,.3057E-01,-.3791,.4089,-.5526,-.6300,-.5412,.6941,-.5518E-02,-1.022,-.2841,-.3828,.2628,-.3461,-.6743E-01,-.1016,-.4903,-.2490,-.4212,-.1430,-.1053,.4543,.2108,-.4919,-.2216E-01,-.1096
19,-.4044,.2941,-.4566,-.1672,-.2591,-.6344E-01,.1886,-.1679,.5140E-01,.9369E-01,-.3379,-.6172,-.2903,-.3746,-.3026,-.7940,-.4627,.4731E-02,.3450,-.1606,.3122E-01,-.1349,-.6259,-.2494,-.3512,.2856,-.1999,-.2793,-.6584E-01,-.2275,.4681E-01,-.1619
20,.5235E-01,.5194,-.3073,-.6355E-01,.1685,.8145E-01,.3620E-01,-.3463,.8690E-01,.2354E-01,-.4482,-.4295,.1406,-.3494,-.4337,-.3723,-.2824,-.3227,.3051,.1281E-01,.1079,.7377E-01,-.4945,.8252,-.4033,.2613,.8249E-01,-.5290,-.2375,-.5441,.4738,-.6467E-01
21,-.3339,-.2722E-01,-.4180,.2581,.5040,.1424,.6277E-01,.6527E-01,-.2196,.2854,-.6843E-01,-.8837,-.2665,.1669,-.5248,-.3976,-.5840,-.4381,.1003,-.3728,.2352E-01,.4143E-01,-.3571,.3484E-01,-.3064,.4499,-.4211E-01,-.1636,-.2701,-.8974E-01,1.270,-.6538E-01
22,-.8424E-01,.7291,-.2407,.2548,.1516,-.3752E-02,.3143,-.1682,-.5807E-01,.2343,-.4667,-.6620,-.3446,.1472,-.2649,-.2849,-.5807,-.2205,.3145,.6269E-01,.1202,.5212E-01,-.9772E-01,-.4615,-.4325,-.4105,-.3217,.1477,-.2517,-.1634,.5007,-.7347E-01
23,-.3175,.6645,-.4604,.3995,.6221,.2882,.3329,-.7961E-01,.1904,.2901,-.2890,-.7822,.1032E-01,.2825,-.7098E-01,-.8972,-.6993,-.4929,.5007,-.3199,.4318,-.4342,.1317,-.1889,-.6296,.4619E-01,-.2243,-.1929,-.4193,-.1840,.5937,-.3335E-01
24,-.2382E-01,.4769,-.6291,-.1078,1.003,-.3694E-01,.9345E-01,.3520,.2070,.3760,-.2663,-.6095,-.3388,.2328,-.1961,-1.199,-.3940,-.6504,.7889,-.4284,.4348E-01,-.5575,-.1920,-.5931E-01,-.5997,.1648,-.6693E-01,-.3476,-.1149,.7239E-01,.6017,-.4023E-01
25,-.1571,.1362,-.3838,.9787E-01,.4225E-01,.2710,.2510,-.2585,.3347E-01,.4498,-.4656E-01,-.8307,-.2569,-.1049,-.4412,-.6381E-01,-.3807,-.2198,.6021,-.1540,-.1649,-.7169,-.4426,-.2170E-01,-.7428,-.4655,-.1845,-.6612,-.3509E-02,.2776E-01,1.183,-.1181
26,.1916,.2656,-.4925,.2416,.4578,.1199,.1060E-01,-.2729,.4297E-01,.3107,-.3498,-.8440,.5170,-.2963E-01,-.4482,-.5171,-.4043,-.3642,.4102,-.3886,.4688,-.1819E-01,-.7222,-.2871,-.4249,-.2339,-.3761,-.4689,-.2711E-01,.1212E-01,.8556,-.7493E-01
27,.4003,.3610,-.2521E-01,.4673,.3214,.2777E-01,-.7584E-01,-.3473,-.2295,.3485,-.3881,-.3152,-.6621,.3866E-01,-.6933,-.4304,-.4200,-.4936,.7444,-.3542,.1824,.6635,-.4658,-.1735,-.2870,.3937,-.8674E-01,-.7351E-01,-.5367,-.7350E-01,.8626,-.2965E-01
28,.2620,.4143,-.6009,.4259,-.6509E-01,.1447,-.1423,-.2769E-02,-.3160,.4674,-.2714,-.5485,-.9014E-01,-.1411,-.1744,-.4178,-.4826,-.4540,.7726,-.4167,.3809E-01,.8416E-01,-.2314,-.1439,-.3071,.1794,-.2464,-.5252,-.4633,.6669,.6916,-.4920E-01
29,.3997,.3227,-.5106,.6163E-01,-.3265,-.1674,.5063,.5679E-01,.7051E-01,.8312,-.3357,-.8217,.5378,.1562,-.4345,-.7111,-.3553,-.4564,.7479E-01,-.2503,.3927,-.1182,-.9904E-01,-.2892,-.5721,.4020,-.4096E-01,.3193E-02,-.1579,.9762,.9566,.2708E-01
30,.9410E-02,.5101,-.6533,.2993,.2830,.2045,.1299,-.2486,.6620,.3831,-.2209,-.6450,-.2113,.6953E-01,-.5326,-.9174,-.1079,-.5289,.1560,-.4219,.2744,-.9550E-01,-.5367,.9836E-01,-.4502,.4266E-01,-.1056,-.7746E-01,-.3796,-.2114,1.111,-.3980E-01
31,.1651,.2124,-.3640,.3520,.6256,.3014,.1514,-.7108E-01,.1935,-.1309E-01,.5678E-01,-.6412,-.3934,.3948,-.5137,-.5707,-.3946,-.5103,.9702,-.2494,-.1009,-.1248,-.8663,-.2160,-.2813,.4443,.5983E-01,-.4571,-.3272,-.1970,1.363,-.1439E-01
32,.1368,.2588,-.2027,.1857,.5211,.3663,.4170,-.3155,.2104E-01,.2238,-.2505,-.3425,.4035,.5111,.2402,-.3800,-.6542,-.6657,1.147,-.4760,.4337,-.1411,-.2939,-.3664,-.5764,.5943E-02,-.2918,-.4218,.2862,-.2265E-01,1.399,.5119E-01
33,.3995,.3082,-.4134,.3784,.5147,.2512,.2856E-01,-.1770,.4985,.3436,-.8079E-01,-.2657,-.2786,.3664,-.6359,-.4863,-.6209,-.4161,.6615,-.3726,.3583,-.9047E-01,-.2795,.5042,-.4525,-.1174,-.2064,-.6774,-.4674,.6473E-01,1.754,.2934E-01
34,-.6476E-01,-.5749E-01,-.6781,.6950,.8662,.8608E-01,-.1579,-.2694,.4451,.4415,-.2541,-.6769,-.1127,-.1243,-.5540,-.5506,-.7535,-.9154E-01,.8497,-.2311,.8900E-01,-.2048,-.5511,.8548,-.5756,-.5018,.3400,.2269,-.3070,.4111,1.077,.7226E-02
35,-.1205E-01,.3229,-.5118,.4427,1.023,.1860,.1397,-.7382E-01,.4406,.8243,-.4074,-.5082,.2492,.9970E-02,-.1307E-01,-.8269,-.6522,-.6970,1.082,-.2887,.1577,.2839,-.8268,-.7957E-01,-.3577,-.1134E-02,.1394,-.1177,-.9561E-01,.5035,.7194,.6271E-01
