Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1-HR,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,EC-Earth3,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
1,-4.765,-4.243,-5.403,-5.629,-5.273,-4.193,-4.041,-3.658,-4.358,-4.666,-4.906,-5.334,-5.319,-4.673,-4.275,-6.338,-6.353,-5.451,-3.722,-4.983,-3.976,-4.115,-5.103,-4.601,-5.574,-4.158,-3.491,-5.288,-5.729,-2.644,-4.742
2,-3.601,-3.072,-4.057,-3.949,-3.819,-3.154,-2.991,-3.527,-2.803,-3.007,-3.500,-3.889,-4.431,-2.511,-3.189,-4.522,-4.653,-4.792,-1.913,-3.799,-2.454,-3.031,-3.538,-3.079,-4.345,-2.941,-1.817,-3.765,-3.503,-1.162,-3.360
3,-2.690,-2.091,-3.724,-2.835,-2.302,-2.140,-1.952,-2.852,-2.210,-2.107,-2.454,-3.255,-2.582,-1.188,-2.078,-4.123,-4.448,-4.377,-.1610,-2.955,-1.792,-2.366,-2.164,-2.113,-3.765,-1.859,-.8662,-2.895,-2.188,-.5558,-2.436
4,-2.416,-1.650,-3.061,-1.735,-1.516,-1.605,-1.221,-2.095,-1.655,-1.255,-1.899,-2.206,-3.013,-1.213,-2.382,-3.654,-4.323,-4.071,.1672,-2.736,-1.188,-1.609,-2.367,-1.179,-3.330,-1.827,-.4548,-2.162,-1.280,.9072,-1.934
5,-2.130,-1.405,-2.401,-.6878,-1.101,-1.208,-.8313,-1.695,-1.174,-1.298,-1.215,-1.859,-2.794,-1.459,-1.573,-3.455,-3.344,-3.729,1.223,-1.967,-.7889,-.8003,-2.351,-.8350,-2.736,-1.578,-.1864,-1.547,-.2917,2.003,-1.440
6,-1.910,-1.094,-2.700,-.1121,-.4623,-.7762,-.6217,-1.780,-.7163,-.8764,-1.002,-1.597,-1.686,-.6514,-1.497,-3.654,-3.129,-3.506,2.211,-1.836,-.3722,-.3987,-1.679,-.5814,-2.659,-.8217,-.3020,-1.583,.2957,2.400,-1.103
7,-1.444,-.5863,-2.349,.5553E-01,.1843,-.3703,-.2522,-1.320,-.1687,-.6035,-.5995,-.5903,-2.136,-.1791,-1.354,-2.733,-3.026,-3.330,2.579,-1.828,-.3126,.2410,-.9585,-.8577,-2.570,-.3290,-.8623E-02,-1.194,.7631,2.285,-.7664
8,-1.137,-.5949,-2.027,.4912,.7448,-.2404,.3441E-01,-.8791,-.1062,.3923,-.5008,-.6945,-1.749,-.3388,-1.229,-2.583,-2.842,-3.427,2.860,-1.761,-.2295E-01,-.1623,-.5341,-.9451,-2.360,-.6844,.2878,-.8131,1.203,2.447,-.5723
9,-1.135,-.3206,-2.022,.8589,.8094,.1536E-02,.1770,-.9505,.7528E-01,.9772,-.1111,-.5058,-.9574,-.9522E-02,-1.325,-2.816,-3.157,-3.034,3.668,-1.425,.3687,-.1496,-1.510,-.2715,-2.340,-.2348,.4402,-1.493,1.647,3.603,-.3714
10,-.8977,-.4121E-01,-1.952,1.184,.7539,.1744,.5154E-01,-.3520,.4438,1.552,.4256,-.4080,-1.209,.8488,-.7538,-2.793,-2.719,-3.428,3.960,-.9635,.4284,.5990,-1.324,.3851,-2.114,-.1281,.3996,-1.319,2.048,4.231,-.9728E-01
