Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,HadGEM3-GC31-LL,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorCPM1-LM,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
1,-.6665E-01,-.2520,.2630,.1315,-.1701,-.2527,.1336,-.4024,-.3275E-01,-.1074,-.9605E-01,.1271,.2185,-.1958,.3345E-01,-.2870,.1121,.1356,.3384,-.3592E-01,.6081E-01,-.3415,.4268,-.8407E-01,.2186,-.5035,-.3388E-01
2,-.1576,-.6144,.6021E-01,-.3639,-1.212,-.4301,-.3347,-.1172,-.5234,-.6677,-.6432,.3267,.1528,.1189,.9200E-01,-.3171,-.3037,.2850,-.1254,-.7285E-01,.1305,-.2111,.8551E-01,-.5982,-.1270E-01,-.3108,-.2367
3,-.1441,-.4417,-.1335,.2057,.2036,-.5354E-01,-.2044,-.6089E-01,-.4149,-.1277,.4760E-01,.1031,.3891,.2825,-.2126E-01,.2198,-.7786,.1884,.4785E-01,.1405,-.7328E-01,-.1647,-.1628,-.1163,-.4756E-01,-.6381,-.8577E-01
4,.1998,-.4560,.1937,.5903,-.2312,-.1689,.8287E-01,-.3610,-.2526,-.2386,-.2326,.1043,-.1036,.3842,-.9401E-01,.1137,-.3404,-.1612,.6210E-01,.3339E-01,.3588,-.3763,-.7309E-01,.5285,.1665E-02,.7076E-01,-.1047E-01
5,.6283E-01,-.4193,.6194E-01,.6679,-.7581,-.4493,-.9407E-01,.2570E-01,-.2910,.3380,-.5587,-.3616E-01,-.3626E-01,-.8813E-01,-.1278,-.2524,-.4213,-.6578E-01,-.4266E-01,.4965,-.2858E-01,-.4889,.8762E-01,-.2596,-.8380E-01,-.5358,-.1304
6,-.2782,-.6258E-01,-.2082E-01,.2765,-.7617,-.6207,-.1776,-.3000E-01,-.1657,-.1965,-.2999,-.3862,.3580,.1045,.2610,-.2694,-.2292,.1046,-.1642E-01,.2553,.1040,-.1315,.4603,.1413,.6314,-.5603,-.7471E-01
7,-.2762,-.7389,.3042E-01,-.4070,-.7515,-.6091,.1957,.2030E-01,.1549,-.4872,-.3841,.9487E-02,.3784,.4472,.2454E-01,.6605,-.5970,-.1380,-.1842,.1621E-01,-.3982,-.2751,-.1490,.9581,-.9603E-01,-.6352,-.1444
8,-.2617,-.3402,.1317,-.1732,-1.034,-.6325,-.2586,-.4252,-.3582,-.1410,-.1763,.1022,.7567E-01,.5119,-.1292,-.4516,-.1989,.1834,-.3929,.4416,-.3090,-.4127,-.3623,.7760,.1620,-.7297,-.1791
9,-.6229,-.5185,.2959,.7638E-01,-.6797,-.5819,.1069,-.1707,-.4674,-.2753,-.2074,.1899,-.7002E-01,.1075,.2949,-.3707,.2026E-01,-.8204E-02,-.4107,.8225E-01,-.2742,-.1853,-.5226,.8948,-.4816E-01,-.7023,-.1591
10,-.4631,-.5808,-.2468,.2090,-.6979,-.5883,-.2035,-.2813E-02,.4334E-01,-.4873,-.6946,-.2218,.2413,-.5238,-.3129,-.2848,-.7446,-.2678,-.1674,-.4014,-.3259,-.6639,.1361,-.1843,-.9424E-01,-.8320,-.3441
11,-.4857,-.9541,-.3526,.4396,-.4277,-.5227,.6092E-01,-.3598,-.2697,-.3258,-.2998,-.3655,.4146,-.6114E-02,-.1181,.1101,-.6784,-.1714,-.2902,.1710,-.5185,-.4625,-.5982,-.3674,-.1136,-.8862,-.3117
12,-.2477E-01,-.3684,.1616,-.3108,-.6419,-.6231,-.4466,-.7522E-01,-.1089,-.2692,-.3789,-.5054E-01,.4919,.2976,-.6600,-.2860,-.5003,.2460,.1241,.3436E-01,-.7031,-.6671,-.6295,-.5406,.3350,-.8256,-.2765
13,-.4380E-01,-.3417,-.2401,.1084E-01,-.5980,-.6675,-.2309,-.2961,-.1211,-.1751,-.5251,-.1027E-01,.1182,.2012,-1.055,-.4470,-.3522,.5337E-01,-.4270E-01,.2923,-1.053,-.3347,-.2468,-.1017,-.3638E-02,-.6466,-.2790
14,-.2511,-.3900,-.4589E-01,-.4183,-.7296,-.6189,-.1409,-.6292,.5978E-01,.1052,-.2993,-.4678,-.1875,-.2221,-.6574,-.4441,-.2760,.4398,.1485,.1340E-01,-.4943,-.5193,-.1371,-.8918,-.1530E-01,-1.154,-.3214
15,.4560,-.7193,-.3086,-.4356,-.3823,-.5673,-.5134,-.2050,-.8054,-.3009,-.1805,-.3035,.1168,-.7843E-01,-.5088,-1.152,-.5529,-.2708,.2458,.3897E-01,-.1192,-.5139,-.3035E-01,-.2960,-.2980,-.9494,-.3501
16,-.2916,-.7866,.1026,-.2753,-.4954,-.5647,-.4175,-.2970,-1.015,-.3264,-.2746,-.3514,.3515E-01,.3224E-01,-.4373,-.4833,-.3147,-.2234,-.2940,-.8757E-02,-.2223,-.8195,-.5757,-.3901,-.3946,-.9915,-.4046
17,.2110,-.7150,.2388,-.4434,-.9378,-.6881,-.1100,-.6469,-1.023,.2030,-.9648,-.1233,.1495,.1499,-.7328,-.4984,-.2686,.1629,-.3727,-.2924,-.5972,-.7571,-.4569,-.4472,-.2141,-.8685,-.4077
18,-.4475,-.8223,-.2749,-.2371,-.3301E-01,-.7245,-.3617,-.2153,-.8663,-.1292,-.1698E-01,-.2385,-.4512,-.2334,-.3293,-.5015,-.4055,.7234E-01,-.2485,.1518,-.7037,-.6557,-.2202,.5226,-.5890,-.6399,-.3259
19,-.5193,-1.188,-.3567E-01,-.2435,-.4799,-.4149,-.1457,-.8109,-.7209,-.4387E-01,-.4412,.2062,.8607E-01,.1525E-01,-.9185,-.6905,-.4623,-.2083,-.1752,.2205,-.7960,-.3413,-.2145,.7048E-01,-.3174E-01,-.9412,-.3724
20,-.1937,-.7729,-.3704,-.7790,-1.035,-.4353,-.2717,-.7796,-.9068,-.3017,-.4573,-.3655E-01,.1944,-.2501,-.7415,-.3246,-1.165,.1041,-.3899E-01,-.6428E-01,-.5582,-.3469,-.6358,-.5807,-.3520,-1.519,-.5125
