Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1-HR,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,EC-Earth3,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
1,-1.211,-1.718,-1.403,-2.239,-2.418,-2.605,-2.532,-1.023,-2.480,-2.635,-2.048,-1.376,-1.669,-2.666,-1.877,.2550E-01,-.9481E-01,-.1887,-3.346,.1581,-3.561,-2.026,-1.687,-1.487,-1.142,-2.557,-3.142,-1.915,-1.934,-3.998,-1.893
2,-1.410,-1.941,-.8418,-1.936,-3.466,-2.864,-3.054,-1.227,-3.298,-2.597,-2.203,-1.240,-1.691,-3.234,-1.806,-.2452,-.1291,.2120,-4.436,-.3120E-01,-2.767,-2.572,-2.390,-2.228,-1.104,-2.444,-3.089,-1.525,-3.247,-4.680,-2.116
3,-1.297,-2.277,-.9785,-2.977,-3.265,-3.256,-3.397,-2.032,-3.305,-3.109,-2.627,-2.192,-1.803,-2.678,-1.534,-.2519,-.4925,.7965E-01,-5.059,-.1215,-3.148,-2.865,-1.946,-2.340,-1.223,-2.189,-3.396,-1.380,-3.037,-5.526,-2.321
4,-1.213,-2.376,-.6643,-3.683,-3.670,-3.463,-3.670,-2.221,-3.776,-3.060,-2.792,-2.281,-2.131,-2.813,-1.847,-.4726,-.2458,.2003,-5.484,-.4357,-3.336,-3.761,-2.140,-2.936,-1.157,-2.450,-3.777,-1.972,-3.748,-6.307,-2.589
5,-1.767,-2.376,-.3561,-3.563,-3.584,-3.771,-3.702,-2.385,-4.315,-3.009,-2.949,-2.591,-2.164,-2.907,-1.860,-.9693,-.8213E-01,1.082,-6.374,-.3749,-3.421,-4.022,-2.269,-2.425,-1.384,-3.218,-3.664,-.7086,-4.442,-6.898,-2.682
6,-1.681,-2.565,-.9808,-4.479,-4.295,-3.609,-3.634,-2.982,-4.440,-3.761,-2.996,-2.464,-1.432,-3.156,-1.696,-.5889,-.2885,.1996,-6.770,-.2878,-3.895,-4.092,-2.562,-2.437,-1.260,-3.127,-3.530,-1.104,-4.533,-6.946,-2.846
7,-2.195,-2.615,-.9876,-4.404,-4.486,-4.116,-3.985,-2.603,-4.046,-4.098,-3.046,-2.851,-2.314,-2.897,-1.957,-.4056,-.4448,.1803,-7.101,-.4690,-3.628,-4.329,-2.473,-2.735,-1.310,-2.830,-3.827,-1.741,-5.195,-7.094,-3.000
8,-2.137,-2.985,-1.472,-4.550,-4.693,-4.301,-4.176,-2.916,-4.512,-4.981,-3.382,-2.713,-1.734,-3.367,-2.314,-.5403,-.6751,.4059,-7.394,-.5278,-4.463,-4.185,-2.166,-2.963,-.9965,-3.497,-3.937,-1.343,-5.199,-7.222,-3.165
9,-2.062,-3.238,-.7901,-4.244,-4.784,-4.298,-4.150,-3.173,-4.983,-5.022,-3.965,-3.226,-2.124,-3.369,-1.836,-.5050,-.8948,.4146,-7.906,-.9096,-3.620,-4.064,-2.514,-2.965,-1.344,-3.184,-4.271,-.6092,-5.735,-7.623,-3.233
10,-2.248,-2.958,-.9998,-4.632,-4.692,-4.330,-4.329,-3.216,-4.537,-5.548,-3.395,-3.431,-2.373,-2.977,-2.203,-.6472E-01,-.8308,.2426E-01,-7.808,-.7074,-4.774,-4.842,-2.531,-2.219,-1.155,-3.641,-4.077,-2.079,-5.429,-8.339,-3.345
