Year,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CESM2,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,HadGEM3-GC31-LL,IPSL-CM6A-LR,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MRI-ESM2-0,NESM3,NorCPM1-LM,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Mean
1,.7622E-01,-.3898E-01,.6521E-01,-.2497,-.1493,.3173,-.1303E-01,.1632,-.2805E-01,.9423E-03,.1487E-01,-.9383E-01,-.2305E-01,-.5416E-01,-.1146,-.9278E-01,.4709E-01,-.4506E-01,-.9158E-01,-.7662E-01,-.5229E-01,.1104,-.4224E-01,.4707E-01,-.2797,.2790,-.1203E-01
2,-.4898E-01,-.7567E-01,.5079E-01,-.5033E-01,.4971E-01,.1462,-.5374E-02,.1029,.7034E-01,.2895,.2333,-.1322,.6397E-01,-.3622E-02,-.5620E-01,.2505,.1492,.5723E-01,.3996E-01,-.1118,.5643E-01,.1267,-.1007,.9683E-01,-.1999,.1405,.4301E-01
3,-.3117E-01,-.4833E-01,-.5362E-01,.3506E-01,.1347,.2090,.3027E-01,.1587,.2057,.2831,.2316,-.1006,.1140,-.1070,-.1684E-01,.2838,.2864,-.1315,.3352E-01,-.7596E-01,.7317E-01,.1971,-.8013E-01,.1866,-.1031,.1390,.6957E-01
4,.4062E-01,.1981E-02,.1100,-.1565,-.5729E-01,.3585E-01,-.6079E-02,.1184,.8413E-01,.2017,.9496E-01,-.1506E-01,-.1990,-.2115,.1146,-.4969E-02,.2305,-.1102,.6059E-02,-.5611E-01,.2792E-01,.2454,.7442E-02,.3283E-02,-.9528E-01,.1245,.2937E-01
5,-.1857E-01,.1232E-01,-.3444E-01,-.1171,-.1829E-01,.2147,.4354E-01,.6315E-01,.1505,.9236E-01,.1803,-.4645E-01,-.1619,-.2040,.9295E-01,-.1227,.2067,-.1599E-01,.1176,.3973E-01,-.3734E-01,.2248,.1060,.1430,.1453E-01,.8803E-01,.4702E-01
6,.8024E-01,-.1074,-.2884E-01,-.2573E-01,.7271E-01,.3275,-.1981E-01,.9991E-01,.1889,.1450,.2047,.5113E-01,.7406E-01,-.1664,-.5568E-01,.5959E-01,.2358,-.2174E-01,.1352,.7541E-02,-.1587E-02,.3191,.5958E-01,.2388,-.9766E-01,.2095,.7642E-01
7,.1280,.7398E-01,.5377E-01,.6966E-01,.1677,.3974,.1059,-.3237E-01,.2273,.2286,.2451,-.2628E-01,.1671,-.2228,-.7031E-01,.4186E-01,.3400,.1255,.4474E-01,.1114,-.5785E-01,.3704,.6415E-01,.1335,-.5087E-01,.2351,.1081
8,.1928,.6631E-01,.5437E-01,.7903E-01,.1767,.4652,.1351E-01,.1934,.2357,.1362,.8942E-01,.1103,-.7391E-01,-.3527E-01,.5306E-01,-.1099,.2421,.1678,.1183,.1052,.4987E-01,.2198,.8669E-01,.2823E-01,.1943E-02,.4226,.1265
9,.2327,.7262E-01,.2094E-01,.1095,.2067,.3830,.2315E-01,.2161,.3330,.1058,.1758,-.6010E-01,-.1479,-.2473E-01,-.5538E-02,.1744,.3129E-01,-.1019,.1218,.9705E-01,.2826,.1821,.3333,-.1330,.5072E-01,.3651,.1277
10,.2155,.1100,-.6046E-01,.8882E-01,.1857,.3789,.2858,.1539,.1514,.1954,.3662,-.9750E-01,-.2485E-01,-.6517E-01,.3584E-01,.2247,.2175,-.1137,.2394,.1499,.9936E-01,.5615,.2338,-.1143,.1205,.3196,.1553
