Model,F4x,lambda,ECS,FSW,FLW,lambdaSW,lambdaLW
BCC-CSM2-MR,6.143,-1.005,3.056,-.3139,6.457,.8012,-1.806
BCC-ESM1,6.059,-.9231,3.282,.7990,5.260,.6516,-1.575
CAMS-CSM1-0,8.171,-1.790,2.282,1.318,6.854,-.1683,-1.622
CESM2-WACCM,6.553,-.6901,4.748,-.1166,6.669,1.325,-2.015
CESM2,6.766,-.6556,5.160,-.3523,7.118,1.277,-1.933
CNRM-CM6-1-HR,8.118,-.9475,4.284,2.292,5.826,.5119,-1.459
CNRM-CM6-1,7.451,-.7714,4.829,1.451,5.999,.6771,-1.448
CNRM-ESM2-1,5.979,-.6275,4.764,.5083,5.471,.7207,-1.348
CanESM5,7.399,-.6588,5.616,1.741,5.658,.6978,-1.357
E3SM-1-0,6.745,-.6356,5.306,-.2799,7.025,1.250,-1.886
EC-Earth3-Veg,6.820,-.7921,4.305,.4272,6.393,.8048,-1.597
EC-Earth3,6.387,-.7595,4.205,.2799E-01,6.359,.8269,-1.586
FGOALS-f3-L,8.235,-1.374,2.996,.4119,7.823,.4481,-1.822
GFDL-CM4,6.529,-.8429,3.873,.5643,5.965,.7298,-1.573
GFDL-ESM4,6.965,-1.280,2.721,.9761,5.989,.3386,-1.619
GISS-E2-1-G,7.844,-1.443,2.719,.4801,7.364,-.3868E-01,-1.404
GISS-E2-1-H,7.077,-1.137,3.112,-.2640E-01,7.104,.2039,-1.341
GISS-E2-2-G,7.437,-1.541,2.413,.6707,6.766,-.3248,-1.216
HadGEM3-GC31-LL,6.969,-.6282,5.546,1.009,5.959,1.615,-2.243
INM-CM4-8,5.697,-1.556,1.831,-.6639,6.361,.5016,-2.057
IPSL-CM6A-LR,6.848,-.7531,4.546,.9391,5.909,.8355,-1.589
MCM-UA-1-0,7.583,-1.043,3.637,1.284,6.299,.9227,-1.965
MIROC-ES2L,8.106,-1.515,2.676,1.634,6.472,.3759,-1.891
MIROC6,7.272,-1.395,2.607,1.204,6.068,.5975,-1.992
MPI-ESM1-2-HR,7.313,-1.229,2.976,.4664,6.846,.2092,-1.438
MRI-ESM2-0,6.814,-1.081,3.151,.6996,6.115,.8338,-1.915
NESM3,7.801,-.8356,4.668,1.608,6.193,.5579,-1.394
NorESM2-LM,7.004,-1.380,2.537,-.2542,7.258,.5563,-1.937
SAM0-UNICON,8.006,-1.099,3.641,.2664E-01,7.980,1.449,-2.548
UKESM1-0-LL,7.254,-.6796,5.337,1.420,5.834,1.539,-2.218
Mean,7.112,-1.036,3.761,.6650,6.447,.6909,-1.726
