                      F4x    lambda       ECS       FSW       FLW  lambdaSW  lambdaLW
BCC-CSM2-MR          6.14     -1.01      3.06     -0.31      6.46      0.80     -1.81
BCC-ESM1             6.06     -0.92      3.28      0.80      5.26      0.65     -1.57
CAMS-CSM1-0          8.17     -1.79      2.28      1.32      6.85     -0.17     -1.62
CESM2-WACCM          6.55     -0.69      4.75     -0.12      6.67      1.33     -2.02
CESM2                6.77     -0.66      5.16     -0.35      7.12      1.28     -1.93
CNRM-CM6-1           7.45     -0.77      4.83      1.45      6.00      0.68     -1.45
CNRM-ESM2-1          5.98     -0.63      4.76      0.51      5.47      0.72     -1.35
CanESM5              7.40     -0.66      5.62      1.74      5.66      0.70     -1.36
E3SM-1-0             6.74     -0.64      5.31     -0.28      7.02      1.25     -1.89
EC-Earth3-Veg        6.82     -0.79      4.31      0.43      6.39      0.80     -1.60
EC-Earth3            6.39     -0.76      4.20      0.03      6.36      0.83     -1.59
GFDL-CM4             6.53     -0.84      3.87      0.56      5.96      0.73     -1.57
GFDL-ESM4            6.97     -1.28      2.72      0.98      5.99      0.34     -1.62
GISS-E2-1-G          7.84     -1.44      2.72      0.48      7.36     -0.04     -1.40
GISS-E2-1-H          7.08     -1.14      3.11     -0.03      7.10      0.20     -1.34
HadGEM3-GC31-LL      6.97     -0.63      5.55      1.01      5.96      1.62     -2.24
IPSL-CM6A-LR         6.85     -0.75      4.55      0.94      5.91      0.84     -1.59
MCM-UA-1-0           7.58     -1.04      3.64      1.28      6.30      0.92     -1.97
MIROC-ES2L           8.11     -1.51      2.68      1.63      6.47      0.38     -1.89
MIROC6               7.27     -1.39      2.61      1.20      6.07      0.60     -1.99
MPI-ESM1-2-HR        7.31     -1.23      2.98      0.47      6.85      0.21     -1.44
MRI-ESM2-0           6.81     -1.08      3.15      0.70      6.11      0.83     -1.92
NESM3                7.80     -0.84      4.67      1.61      6.19      0.56     -1.39
NorESM2-LM           7.00     -1.38      2.54     -0.25      7.26      0.56     -1.94
SAM0-UNICON          8.01     -1.10      3.64      0.03      7.98      1.45     -2.55
UKESM1-0-LL          7.25     -0.68      5.34      1.42      5.83      1.54     -2.22
Mean                 7.07     -0.99      3.90      0.66      6.41      0.75     -1.74
