                      F4x    lambda       ECS       FSW       FLW  lambdaSW  lambdaLW
BCC-CSM2-MR          6.82     -1.21      2.82      0.32      6.49      0.60     -1.81
BCC-ESM1             6.87     -1.20      2.87      1.21      5.66      0.53     -1.73
CAMS-CSM1-0          8.60     -1.95      2.21      1.33      7.28     -0.16     -1.78
CESM2-WACCM          8.23     -1.14      3.59      0.73      7.50      1.08     -2.23
CESM2                8.78     -1.15      3.83      1.30      7.49      0.86     -2.00
CNRM-CM6-1           7.90     -0.90      4.37      1.63      6.27      0.61     -1.52
CNRM-ESM2-1          5.51     -0.48      5.75      0.36      5.15      0.77     -1.25
CanESM5              7.54     -0.68      5.51      1.50      6.04      0.77     -1.45
E3SM-1-0             7.32     -0.76      4.84      0.48      6.84      1.08     -1.83
EC-Earth3-Veg        8.02     -1.12      3.58      1.08      6.94      0.62     -1.74
EC-Earth3            7.54     -1.09      3.46      0.52      7.02      0.68     -1.77
GFDL-CM4             8.77     -1.48      2.96      2.34      6.43      0.24     -1.72
GFDL-ESM4            7.16     -1.35      2.66      1.47      5.69      0.18     -1.53
GISS-E2-1-G          7.87     -1.42      2.78      0.18      7.69      0.08     -1.50
GISS-E2-1-H          7.45     -1.27      2.95     -0.32      7.78      0.30     -1.57
HadGEM3-GC31-LL      7.74     -0.83      4.68      1.46      6.28      1.50     -2.33
IPSL-CM6A-LR         7.78     -0.99      3.92      1.92      5.86      0.59     -1.58
MCM-UA-1-0           7.09     -0.86      4.13      0.92      6.17      1.06     -1.92
MIROC-ES2L           7.85     -1.45      2.70      1.20      6.64      0.49     -1.94
MIROC6               7.80     -1.63      2.40      1.48      6.33      0.45     -2.08
MPI-ESM1-2-HR        8.38     -1.53      2.73      1.13      7.26      0.03     -1.56
MRI-ESM2-0           7.66     -1.33      2.88      1.42      6.24      0.62     -1.95
NESM3                8.02     -0.89      4.49      1.32      6.70      0.60     -1.50
NorESM2-LM           9.29     -2.07      2.24      1.56      7.72      0.01     -2.08
SAM0-UNICON          8.47     -1.19      3.56      0.60      7.86      1.28     -2.47
UKESM1-0-LL          7.82     -0.82      4.78      1.75      6.07      1.45     -2.27
Mean                 7.78     -1.18      3.57      1.11      6.67      0.63     -1.81
