Model,F4x,lambda,ECS,FSW,FLW,lambdaSW,lambdaLW
BCC-CSM2-MR,5.081,-.7690,3.303,-1.247,6.328,1.009,-1.778
BCC-ESM1,5.239,-.7450,3.516,.1668E-01,5.222,.8199,-1.565
CAMS-CSM1-0,7.538,-1.627,2.316,.9679,6.570,-.7971E-01,-1.547
CESM2-WACCM,5.269,-.4715,5.587,-.5578,5.827,1.401,-1.873
CESM2,5.355,-.4420,6.059,-1.190,6.546,1.405,-1.847
CNRM-CM6-1,7.907,-.8417,4.697,2.090,5.817,.5774,-1.419
CNRM-ESM2-1,6.246,-.6750,4.627,.4359,5.810,.7324,-1.407
CanESM5,7.007,-.6057,5.784,1.573,5.434,.7197,-1.325
E3SM-1-0,5.695,-.5023,5.669,-1.242,6.937,1.373,-1.875
EC-Earth3-Veg,6.455,-.7359,4.386,.4183,6.037,.8076,-1.543
EC-Earth3,5.921,-.6856,4.318,-.3669E-01,5.957,.8379,-1.524
GFDL-CM4,5.298,-.6079,4.357,-.7326,6.030,.9753,-1.583
GFDL-ESM4,6.461,-1.156,2.795,-.5107,6.972,.7045,-1.860
GISS-E2-1-G,7.010,-1.234,2.841,.3023,6.707,.3333E-02,-1.237
GISS-E2-1-H,6.848,-1.087,3.150,.2238,6.624,.1497,-1.237
HadGEM3-GC31-LL,6.567,-.5713,5.747,.7555,5.811,1.651,-2.222
IPSL-CM6A-LR,5.974,-.6207,4.812,-.5780E-01,6.032,.9864,-1.607
MCM-UA-1-0,7.238,-.9754,3.710,.9882,6.250,.9805,-1.956
MIROC-ES2L,9.810,-1.942,2.526,4.040,5.771,-.2273,-1.714
MIROC6,7.521,-1.455,2.584,1.907,5.614,.4182,-1.873
MPI-ESM1-2-HR,5.641,-.8600,3.280,-.7216,6.363,.4709,-1.331
MRI-ESM2-0,5.719,-.8327,3.434,-.1511,5.871,1.027,-1.860
NESM3,8.206,-.8962,4.579,2.941,5.266,.3573,-1.253
NorESM2-LM,5.120,-.8777,2.917,-1.782,6.902,.9636,-1.841
SAM0-UNICON,6.503,-.8050,4.039,-.6129,7.116,1.576,-2.381
UKESM1-0-LL,6.879,-.6260,5.494,1.297,5.582,1.557,-2.183
Mean,6.481,-.8710,4.097,.3505,6.131,.8153,-1.686
