                      F4x    lambda       ECS       FSW       FLW  lambdaSW  lambdaLW
BCC-CSM2-MR          5.08     -0.77      3.30     -1.25      6.33      1.01     -1.78
BCC-ESM1             5.24     -0.74      3.52      0.02      5.22      0.82     -1.56
CAMS-CSM1-0          7.54     -1.63      2.32      0.97      6.57     -0.08     -1.55
CESM2-WACCM          5.27     -0.47      5.59     -0.56      5.83      1.40     -1.87
CESM2                5.36     -0.44      6.06     -1.19      6.55      1.41     -1.85
CNRM-CM6-1           7.91     -0.84      4.70      2.09      5.82      0.58     -1.42
CNRM-ESM2-1          6.25     -0.67      4.63      0.44      5.81      0.73     -1.41
CanESM5              7.01     -0.61      5.78      1.57      5.43      0.72     -1.33
E3SM-1-0             5.70     -0.50      5.67     -1.24      6.94      1.37     -1.88
EC-Earth3-Veg        6.45     -0.74      4.39      0.42      6.04      0.81     -1.54
EC-Earth3            5.92     -0.69      4.32     -0.04      5.96      0.84     -1.52
GFDL-CM4             5.30     -0.61      4.36     -0.73      6.03      0.98     -1.58
GFDL-ESM4            6.46     -1.16      2.80     -0.51      6.97      0.70     -1.86
GISS-E2-1-G          7.01     -1.23      2.84      0.30      6.71      0.00     -1.24
GISS-E2-1-H          6.85     -1.09      3.15      0.22      6.62      0.15     -1.24
HadGEM3-GC31-LL      6.57     -0.57      5.75      0.76      5.81      1.65     -2.22
IPSL-CM6A-LR         5.97     -0.62      4.81     -0.06      6.03      0.99     -1.61
MCM-UA-1-0           7.24     -0.98      3.71      0.99      6.25      0.98     -1.96
MIROC-ES2L           9.81     -1.94      2.53      4.04      5.77     -0.23     -1.71
MIROC6               7.52     -1.46      2.58      1.91      5.61      0.42     -1.87
MPI-ESM1-2-HR        5.64     -0.86      3.28     -0.72      6.36      0.47     -1.33
MRI-ESM2-0           5.72     -0.83      3.43     -0.15      5.87      1.03     -1.86
NESM3                8.21     -0.90      4.58      2.94      5.27      0.36     -1.25
NorESM2-LM           5.12     -0.88      2.92     -1.78      6.90      0.96     -1.84
SAM0-UNICON          6.50     -0.80      4.04     -0.61      7.12      1.58     -2.38
UKESM1-0-LL          6.88     -0.63      5.49      1.30      5.58      1.56     -2.18
Mean                 6.48     -0.87      4.10      0.35      6.13      0.82     -1.69
