Model,kappa_01_70,kappa_71_140
BCC-CSM2-MR,.5317,.3339
BCC-ESM1,.6861,.3673
CAMS-CSM1-0,.3188,.1589
CESM2-WACCM,.6390,.4699
CESM2,.5158,.4736
CNRM-CM6-1,.8092,.3861
CNRM-ESM2-1,.7489,.2739
CanESM5,.4684,.3823
E3SM-1-0,.3295,.1474
EC-Earth3-Veg,.4458,.1929
GFDL-CM4,.5296,.2878
GFDL-ESM4,.4757,.2980
GISS-E2-1-G,.4601,
GISS-E2-1-H,.5646,.3268
HadGEM3-GC31-LL,.5498,.2921
IPSL-CM6A-LR,.4782,.2755
MCM-UA-1-0,.8337,.2907
MIROC-ES2L,.6278,.3780
MIROC6,.5644,.4385
MPI-ESM1-2-HR,.7065,.2478
MRI-ESM2-0,.7338,.4975
NESM3,.5151,.3269
NorCPM1-LM,.6861,.3291
NorESM2-LM,.4329,.4346
SAM0-UNICON,.4969,.4898
UKESM1-0-LL,.5555,.2634
Mean,.5655,.3345
