Model,TCR,T140,ratio
BCC-CSM2-MR,1.730,4.142,2.395
BCC-ESM1,1.777,4.358,2.453
CAMS-CSM1-0,1.688,3.760,2.227
CESM2-WACCM,1.999,5.101,2.551
CESM2,2.072,5.146,2.483
CNRM-CM6-1,2.135,5.756,2.696
CNRM-ESM2-1,1.845,5.436,2.947
CanESM5,2.740,6.605,2.411
E3SM-1-0,3.058,7.332,2.398
EC-Earth3-Veg,2.612,6.065,2.322
GFDL-CM4,2.056,5.050,2.456
GFDL-ESM4,1.566,3.839,2.451
GISS-E2-1-G,1.731,,
GISS-E2-1-H,1.924,4.354,2.263
HadGEM3-GC31-LL,2.552,6.622,2.595
IPSL-CM6A-LR,2.294,5.935,2.587
MCM-UA-1-0,1.933,4.536,2.346
MIROC-ES2L,1.554,3.722,2.395
MIROC6,1.552,3.697,2.382
MPI-ESM1-2-HR,1.657,4.213,2.542
MRI-ESM2-0,1.636,3.835,2.345
NESM3,2.743,6.223,2.269
NorCPM1-LM,1.559,3.875,2.485
NorESM2-LM,1.476,3.471,2.352
SAM0-UNICON,2.166,4.631,2.138
UKESM1-0-LL,2.786,6.603,2.370
Mean,2.032,4.972,2.434
